Ref,Val,Package,PosX,PosY,Rot,Side
"C501","10u 100V X7R","C_1210_3225Metric",-17.425000,32.250000,180.000000,bottom
"C502","10u 100V X7R","C_1210_3225Metric",-17.425000,29.000000,180.000000,bottom
"C503","10u 100V X7R","C_1210_3225Metric",-13.500000,28.775000,-90.000000,bottom
"C504","10u 100V X7R","C_1210_3225Metric",-10.250000,28.775000,-90.000000,bottom
"C505","10u 100V X7R","C_1210_3225Metric",-7.000000,28.775000,-90.000000,bottom
"C506","10u 100V X7R","C_1210_3225Metric",-3.750000,28.775000,-90.000000,bottom
"C507","10u 100V X7R","C_1210_3225Metric",-0.500000,28.775000,-90.000000,bottom
"C508","10u 100V X7R","C_1210_3225Metric",2.750000,28.775000,-90.000000,bottom
"C509","10u 100V X7R","C_1210_3225Metric",6.000000,28.775000,-90.000000,bottom
"C510","10u 100V X7R","C_1210_3225Metric",9.250000,28.775000,-90.000000,bottom
"C511","10u 100V X7R","C_1210_3225Metric",12.500000,28.775000,-90.000000,bottom
"C512","10u 100V X7R","C_1210_3225Metric",15.750000,28.775000,-90.000000,bottom
"C513","10u 100V X7R","C_1210_3225Metric",19.000000,28.775000,-90.000000,bottom
"C514","10u 100V X7R","C_1210_3225Metric",22.250000,28.775000,-90.000000,bottom
"C515","10u 100V X7R","C_1210_3225Metric",25.475000,28.750000,-90.000000,bottom
"C516","10u 100V X7R","C_1210_3225Metric",28.750000,28.750000,-90.000000,bottom
"C517","10u 100V X7R","C_1210_3225Metric",32.000000,28.775000,-90.000000,bottom
"C518","10u 100V X7R","C_1210_3225Metric",35.250000,28.775000,-90.000000,bottom
"C519","10u 100V X7R","C_1210_3225Metric",38.500000,28.775000,-90.000000,bottom
"C520","10u 100V X7R","C_1210_3225Metric",41.750000,28.775000,-90.000000,bottom
"C521","10u 100V X7R","C_1210_3225Metric",45.000000,28.775000,-90.000000,bottom
"C522","10u 100V X7R","C_1210_3225Metric",48.250000,28.775000,-90.000000,bottom
"C523","10u 100V X7R","C_1210_3225Metric",52.750000,32.000000,0.000000,bottom
"C524","10u 100V X7R","C_1210_3225Metric",52.750000,28.500000,0.000000,bottom
"C525","10u 100V X7R","C_1210_3225Metric",8.500000,53.000000,90.000000,bottom
"C526","10u 100V X7R","C_1210_3225Metric",5.250000,53.000000,90.000000,bottom
"C527","10u 100V X7R","C_1210_3225Metric",2.000000,53.000000,90.000000,bottom
"C528","10u 100V X7R","C_1210_3225Metric",-11.225000,42.500000,180.000000,bottom
"C529","10u 100V X7R","C_1210_3225Metric",11.750000,53.000000,90.000000,bottom
"C530","10u 100V X7R","C_1210_3225Metric",33.500000,52.750000,90.000000,bottom
"C531","10u 100V X7R","C_1210_3225Metric",30.250000,52.750000,90.000000,bottom
"C532","10u 100V X7R","C_1210_3225Metric",27.000000,52.750000,90.000000,bottom
"C533","10u 100V X7R","C_1210_3225Metric",23.750000,52.750000,90.000000,bottom
"C534","10u 100V X7R","C_1210_3225Metric",47.000000,52.750000,90.000000,bottom
"C535","10u 100V X7R","C_1210_3225Metric",47.725000,48.750000,0.000000,bottom
"C536","10u 100V X7R","C_1210_3225Metric",-11.250000,45.750000,180.000000,bottom
"C537","10u 100V X7R","C_1210_3225Metric",-10.500000,53.000000,90.000000,bottom
"C538","10u 100V X7R","C_1210_3225Metric",-11.250000,39.250000,180.000000,bottom
"C539","10u 100V X7R","C_1210_3225Metric",47.725000,45.500000,0.000000,bottom
"C540","10u 100V X7R","C_1210_3225Metric",47.750000,42.250000,0.000000,bottom
"C541","10u 100V X7R","C_1210_3225Metric",47.750000,39.000000,0.000000,bottom
"C542","10u 100V X7R","C_1210_3225Metric",-11.275000,49.000000,180.000000,bottom
"C601","2u2 100V X7R","C_1210_3225Metric",-17.400000,25.750000,180.000000,bottom
"C602","2u2 100V X7R","C_1210_3225Metric",-9.750000,23.750000,-90.000000,bottom
"C603","2u2 100V X7R","C_1210_3225Metric",-6.500000,23.725000,-90.000000,bottom
"C604","100n 100V X7R","C_0805_2012Metric",-3.750000,23.750000,-90.000000,bottom
"C605","1u 50V X7R","C_0805_2012Metric",5.000000,20.275000,-90.000000,bottom
"C606","100n 100V X7R","C_0805_2012Metric",5.000000,23.775000,90.000000,bottom
"C607","22u 25V X7R","C_1210_3225Metric",9.750000,17.500000,0.000000,bottom
"C608","100n 25V X7R","C_0603_1608Metric",9.775000,15.000000,0.000000,bottom
"C609","2u2 100V X7R","C_1210_3225Metric",48.500000,22.750000,-90.000000,bottom
"C610","2u2 100V X7R","C_1210_3225Metric",43.500000,23.750000,90.000000,bottom
"C611","2u2 100V X7R","C_1210_3225Metric",40.250000,23.750000,90.000000,bottom
"C612","100n 100V X7R","C_0805_2012Metric",37.500000,24.000000,90.000000,bottom
"C613","1u 50V X7R","C_0805_2012Metric",35.000000,13.750000,180.000000,bottom
"C614","100n 100V X7R","C_0805_2012Metric",38.550000,13.750000,0.000000,bottom
"C615","22u 25V X7R","C_1210_3225Metric",46.250000,17.475000,-90.000000,bottom
"C616","100n 25V X7R","C_0603_1608Metric",48.750000,17.500000,-90.000000,bottom
"C617","2u2 100V X7R","C_1210_3225Metric",5.750000,14.750000,-90.000000,bottom
"C618","2u2 100V X7R","C_1210_3225Metric",0.250000,15.000000,90.000000,bottom
"C619","10u 25V X7R","C_1210_3225Metric",-3.000000,15.000000,90.000000,bottom
"C620","100n 100V X7R","C_0805_2012Metric",-5.750000,14.750000,90.000000,bottom
"C622","22u 16V X7R","C_1210_3225Metric",0.250000,6.750000,90.000000,bottom
"C623","100n 25V X7R","C_0805_2012Metric",3.000000,6.500000,90.000000,bottom
"C701","2u2 16V X7R","C_0805_2012Metric",9.750000,12.250000,0.000000,bottom
"C702","100n 25V X7R","C_0805_2012Metric",9.750000,10.250000,0.000000,bottom
"C703","100n 25V X7R","C_0805_2012Metric",11.500000,3.750000,0.000000,bottom
"C704","4u7 16V X7R","C_0805_2012Metric",7.750000,3.750000,180.000000,bottom
"C1601","4u7 16V X7R","C_0603_1608Metric",18.250000,16.000000,0.000000,bottom
"C1602","100n 16V X7R","C_0402_1005Metric",19.020000,17.250000,0.000000,bottom
"C1603","100n 16V X7R","C_0402_1005Metric",16.980000,17.250000,180.000000,bottom
"C1604","4u7 16V X7R","C_0603_1608Metric",28.175000,24.000000,0.000000,bottom
"C1605","100n 16V X7R","C_0402_1005Metric",29.180000,22.750000,0.000000,bottom
"C1606","100n 16V X7R","C_0402_1005Metric",27.200000,22.750000,180.000000,bottom
"C2015","4u7 16V X7R","C_0603_1608Metric",21.490000,-8.715000,0.000000,bottom
"C2016","100n 16V X7R","C_0402_1005Metric",21.495000,-7.215000,0.000000,bottom
"D401","SMBJ51CA-E3/52","D_SMB",-10.000000,35.000000,0.000000,bottom
"F603","1k @100MHz","L_0805_2012Metric",3.000000,15.250000,-90.000000,bottom
"FB601","1k @100MHz","L_0805_2012Metric",-13.250000,25.250000,0.000000,bottom
"FB602","1k @100MHz","L_0805_2012Metric",46.000000,23.250000,-90.000000,bottom
"FID2305","Fiducial","Fiducial_0.5mm_Mask1.5mm",-18.500000,22.500000,180.000000,bottom
"FID2306","Fiducial","Fiducial_0.5mm_Mask1.5mm",53.750000,47.250000,180.000000,bottom
"FID2307","Fiducial","Fiducial_0.5mm_Mask1.5mm",53.000000,-2.000000,180.000000,bottom
"FID2308","Fiducial","Fiducial_0.5mm_Mask1.5mm",-17.250000,-0.500000,180.000000,bottom
"J401","XT60","AMASS_XT60PW-F_1x02_P7.20mm_Horizontal",-16.750000,38.850000,-90.000000,bottom
"L601","22u","L_Coilcraft_LPS4018",9.250000,22.500000,-90.000000,bottom
"L602","22u","L_Coilcraft_LPS4018",41.500000,18.025000,90.000000,bottom
"L603","2u2","L_Coilcraft_LPS3314",-4.775000,5.750000,0.000000,bottom
"R601","140k 1%","R_0603_1608Metric",-2.000000,24.000000,-90.000000,bottom
"R602","10k 1%","R_0603_1608Metric",-2.000000,20.925000,-90.000000,bottom
"R603","0R","R_0603_1608Metric",0.425000,20.000000,0.000000,bottom
"R604","10k 1%","R_0603_1608Metric",2.750000,18.750000,90.000000,bottom
"R605","140k 1%","R_0603_1608Metric",36.925000,21.500000,180.000000,bottom
"R606","10k 1%","R_0603_1608Metric",33.750000,21.500000,180.000000,bottom
"R607","0R","R_0603_1608Metric",33.750000,23.000000,180.000000,bottom
"R608","10k 1%","R_0603_1608Metric",34.925000,11.750000,180.000000,bottom
"R609","100k 1%","R_0603_1608Metric",33.000000,19.250000,-90.000000,bottom
"R610","9k9 1%","R_0603_1608Metric",33.000000,16.250000,-90.000000,bottom
"R611","10k 1%","R_0603_1608Metric",-8.500000,9.500000,0.000000,bottom
"R1601","10k 1%","R_0402_1005Metric",14.750000,24.500000,90.000000,bottom
"R1602","10k 1%","R_0402_1005Metric",30.430000,13.250000,180.000000,bottom
"R1603","10k 1%","R_0402_1005Metric",28.440000,13.250000,0.000000,bottom
